IMF32, Imagefactory 3.2 (Hyper-V), Information, 12/04/2016 20:52:45
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 12/04/2016 20:52:45
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/04/2016 20:52:45
IMF32, Importing modules, Information, 12/04/2016 20:52:45
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/04/2016 20:52:45
IMF32, Verify Connection to DeploymentRoot, Information, 12/04/2016 20:52:45
IMF32, Connect to MDT, Information, 12/04/2016 20:52:45
IMF32, Connected to D:\MDTBuildLab, Information, 12/04/2016 20:52:45
IMF32, Get MDT Settings, Information, 12/04/2016 20:52:45
IMF32, Check if we should update the boot image, Information, 12/04/2016 20:52:45
IMF32, Check if we should use MDTmonitoring, Information, 12/04/2016 20:52:45
IMF32, Using MDT monitoring, Information, 12/04/2016 20:52:45
IMF32, Verify access to boot image, Information, 12/04/2016 20:52:45
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 12/04/2016 20:52:45
IMF32, Get TaskSequences, Information, 12/04/2016 20:52:45
IMF32, Found 1 TaskSequences to work on, Information, 12/04/2016 20:52:45
IMF32, Get detailed info about the task sequences, Information, 12/04/2016 20:52:45
IMF32, REFWS2016-003 Ref Windows Server 2016 x64 Standard 1.0, Information, 12/04/2016 20:52:45
IMF32, Verify Connection to Hyper-V host, Information, 12/04/2016 20:52:45
IMF32, Upload boot image to Hyper-V host, Information, 12/04/2016 20:53:01
IMF32, Remove old WIM files in the capture folder, Information, 12/04/2016 20:53:01
IMF32, Imagefactory 3.2 (Hyper-V), Information, 12/04/2016 21:17:45
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 12/04/2016 21:17:45
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/04/2016 21:17:45
IMF32, Importing modules, Information, 12/04/2016 21:17:45
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 12/04/2016 21:17:45
IMF32, Verify Connection to DeploymentRoot, Information, 12/04/2016 21:17:45
IMF32, Connect to MDT, Information, 12/04/2016 21:17:45
IMF32, Connected to D:\MDTBuildLab, Information, 12/04/2016 21:17:45
IMF32, Get MDT Settings, Information, 12/04/2016 21:17:45
IMF32, Check if we should update the boot image, Information, 12/04/2016 21:17:45
IMF32, Check if we should use MDTmonitoring, Information, 12/04/2016 21:17:45
IMF32, Using MDT monitoring, Information, 12/04/2016 21:17:45
IMF32, Verify access to boot image, Information, 12/04/2016 21:17:45
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 12/04/2016 21:17:45
IMF32, Get TaskSequences, Information, 12/04/2016 21:17:45
IMF32, Found 1 TaskSequences to work on, Information, 12/04/2016 21:17:45
IMF32, Get detailed info about the task sequences, Information, 12/04/2016 21:17:45
IMF32, REFWS2016-003 Ref Windows Server 2016 x64 Standard 1.0, Information, 12/04/2016 21:17:45
IMF32, Verify Connection to Hyper-V host, Information, 12/04/2016 21:17:45
IMF32, Upload boot image to Hyper-V host, Information, 12/04/2016 21:18:08
IMF32, Remove old WIM files in the capture folder, Information, 12/04/2016 21:18:09
IMF32, Create the VM's on Host, Information, 12/04/2016 21:18:09
IMF32, Imagefactory 3.2 (Hyper-V), Information, 12/04/2016 21:39:25
